SITE_CODE,Year,parameter,SummerMean,TSI
EH-NISSTL020,1995,Secchi Depth,2.622,46.1
EH-NISSTL020,1995,Total Phosphorus,0.012199999999999999,40.2
EH-NISSTL020,1996,Secchi Depth,2.794,45.2
EH-NISSTL020,1996,Total Phosphorus,0.013399999999999999,41.6
EH-NISSTL020,1997,Secchi Depth,2.072,49.5
EH-NISSTL020,1997,Total Phosphorus,0.0162,44.3
EH-NISSTL020,1998,Secchi Depth,3.0949999999999998,43.7
EH-NISSTL020,1998,Total Phosphorus,0.012799999999999999,40.9
EH-NISSTL020,1999,Secchi Depth,3.428,42.2
EH-NISSTL020,1999,Total Phosphorus,0.0124,40.5
EH-NISSTL020,2000,Secchi Depth,3.4499999999999997,42.2
EH-NISSTL020,2000,Total Phosphorus,0.0126,40.7
EH-NISSTL020,2001,Secchi Depth,4.2219999999999995,39.2
EH-NISSTL020,2001,Total Phosphorus,0.0086,35.2
EH-NISSTL020,2002,Total Phosphorus,0.018,45.8
EH-NISSTL020,2003,Secchi Depth,2.966,44.3
EH-NISSTL020,2003,Total Phosphorus,0.0108,38.5
EH-NISSTL020,2004,Secchi Depth,3.0220000000000002,44.1
EH-NISSTL020,2004,Total Phosphorus,0.0118,39.7
EH-NISSTL020,2005,Secchi Depth,3.024,44.1
EH-NISSTL020,2005,Total Phosphorus,0.011,38.7
EH-NISSTL020,2006,Secchi Depth,2.542,46.6
EH-NISSTL020,2006,Total Phosphorus,0.0126,40.7
EH-NISSTL020,2007,Secchi Depth,2.618,46.1
EH-NISSTL020,2007,Total Phosphorus,0.0132,41.4
EH-NISSTL020,2008,Secchi Depth,2.896,44.7
EH-NISSTL020,2008,Total Phosphorus,0.0168,44.8
EH-NISSTL020,2009,Secchi Depth,3.072,43.8
EH-NISSTL020,2009,Total Phosphorus,0.012,40
EH-NISSTL020,2010,Secchi Depth,2.184,48.7
EH-NISSTL020,2010,Total Phosphorus,0.014,42.2
EH-NISSTL020,2011,Secchi Depth,2.3200000000000003,47.9
EH-NISSTL020,2011,Total Phosphorus,0.0222,48.9
EH-NISSTL020,2012,Secchi Depth,2.59,46.3
EH-NISSTL020,2012,Total Phosphorus,0.015,43.2
EH-NISSTL020,2013,Secchi Depth,2.908,44.6
EH-NISSTL020,2013,Total Phosphorus,0.012,40
EH-NISSTL020,2014,Secchi Depth,2.962,44.4
EH-NISSTL020,2014,Total Phosphorus,0.0128,40.9
EH-NISSTL020,2015,Secchi Depth,3.456,42.1
EH-NISSTL020,2015,Total Phosphorus,0.0073999999999999995,33
EH-NISSTL020,2016,Secchi Depth,2.4699999999999998,47
EH-NISSTL020,2016,Total Phosphorus,0.009,35.8
EH-NISSTL020,2017,Secchi Depth,3.2874999999999996,42.9
EH-NISSTL020,2018,Chlorophyll a,3.5429999999999997,43
EH-NISSTL020,2018,Total Phosphorus,0.01101361556079588,38.7
EH-NISSTL020,2019,Chlorophyll a,4.06,44.3
EH-NISSTL020,2019,Secchi Depth,3.95,40.2
EH-NISSTL020,2019,Total Phosphorus,0.0126,40.7
EH-NISSTL020,2020,Secchi Depth,2.87,44.8
EH-NISSTL020,2020,Total Phosphorus,0.010995412851960054,38.7
EH-NISSTL020,2021,Chlorophyll a,1.8,36.4
EH-NISSTL020,2021,Secchi Depth,3.538,41.8
EH-NISSTL020,2021,Total Phosphorus,0.0116,39.5
EH-NISSTL020,2022,Total Phosphorus,0.018333333333333333,46.1
EH-NISSTL020,2023,Secchi Depth,3.486,42
EH-TOTSUL010,1990,Total Phosphorus,0.00475,26.6
EH-TOTSUL010,1991,Total Phosphorus,0.0078000000000000005,33.8
EH-TOTSUL010,1992,Total Phosphorus,0.0102,37.6
EH-TOTSUL010,1993,Total Phosphorus,0.0088,35.5
EH-TOTSUL010,1994,Total Phosphorus,0.0052,27.9
EH-TOTSUL010,1995,Total Phosphorus,0.0098,37.1
EH-TOTSUL010,1996,Total Phosphorus,0.0025,17.4
EH-TOTSUL010,1997,Total Phosphorus,0.0036,22.6
EH-TOTSUL010,1998,Total Phosphorus,0.0054,28.5
EH-TOTSUL010,1999,Total Phosphorus,0.0054,28.5
EH-TOTSUL010,2000,Total Phosphorus,0.0058,29.5
EH-TOTSUL010,2001,Total Phosphorus,0.0055,28.7
EH-TOTSUL010,2002,Total Phosphorus,0.0062,30.5
EH-TOTSUL010,2003,Total Phosphorus,0.0054,28.5
EH-TOTSUL010,2004,Total Phosphorus,0.005,27.4
EH-TOTSUL010,2005,Total Phosphorus,0.0052,27.9
EH-TOTSUL010,2006,Total Phosphorus,0.0056,29
EH-TOTSUL010,2007,Total Phosphorus,0.0056,29
EH-TOTSUL010,2008,Total Phosphorus,0.0044,25.5
EH-TOTSUL010,2009,Total Phosphorus,0.0072,32.6
EH-TOTSUL010,2010,Total Phosphorus,0.0056,29
EH-TOTSUL010,2011,Total Phosphorus,0.0062,30.5
EH-TOTSUL010,2012,Total Phosphorus,0.0056,29
EH-TOTSUL010,2013,Total Phosphorus,0.0052,27.9
EH-TOTSUL010,2014,Total Phosphorus,0.005,27.4
EH-TOTSUL010,2015,Total Phosphorus,0.0056,29
EH-TOTSUL010,2016,Total Phosphorus,0.004,24.1
EH-TOTSUL010,2018,Chlorophyll a,1.0376875,31
EH-TOTSUL010,2018,Total Phosphorus,0.005435552060219365,28.6
EH-TOTSUL010,2019,Chlorophyll a,1.2,32.4
EH-TOTSUL010,2019,Secchi Depth,6.994,32
EH-TOTSUL010,2019,Total Phosphorus,0.007333333333333333,32.9
EH-TOTSUL010,2020,Total Phosphorus,0.0044,25.5
EH-TOTSUL010,2021,Chlorophyll a,0.9600000000000001,30.2
EH-TOTSUL010,2021,Total Phosphorus,0.005,27.4
EH-TOTSUL010,2022,Total Phosphorus,0.018,45.8
